next_result,weighted_average5,weighted_average10
-1,-853,-1251.490909
1,-1747.733333,-2346.381818
1,13.66666667,-813.6545455
-1,682.7333333,2.727272727
-1,-258.2,-708.8181818
1,-1659.2,-1941.6
-1,-348.6,-740.1818182
1,-2061.266667,-2389.618182
1,-806,-1418.8
1,317.4,-378.6727273
1,1138.333333,579.2181818
0,1575.4,1338.127273
-1,839.4666667,965.6909091
-1,-1016.466667,-595.2181818
1,-1750.866667,-1426.127273
0,463.2666667,462.2545455
1,572.4,515.2181818
1,1591.133333,1521.981818
-1,2103.533333,2244.381818
-1,375.0666667,902.8727273
0,-642.4,3.054545455
0,-184.2666667,309.6727273
0,-515.7333333,-156.1636364
1,-25.53333333,86.36363636
1,821.5333333,764.7090909
-1,1530.866667,1539.309091
0,278.1333333,537.0545455
0,-129.1333333,190.9454545
-1,-72.13333333,247.2727273
0,-778.8,-506.0727273
0,-137.7333333,-84.6
-1,8.133333333,-70.65454545
0,-1161.6,-1276.745455
-1,-426.2666667,-723.1090909
1,-1141.866667,-1483.454545
0,-234.5333333,-686.8
-1,203.6666667,-229.2363636
1,-616.4666667,-949.1090909
0,51.53333333,-262.4727273
1,48.06666667,-170.5818182
0,832.6,712.1090909
1,430.2,486.9636364
1,1020.866667,1177.381818
-1,2021.533333,2360.472727
0,645.9333333,1277.636364
0,641.6,1324.872727
0,729.8666667,1417.2
0,574.8,1256
-1,273.4666667,870.5454545
-1,-852.3333333,-396.6545455
0,-1182.933333,-983
1,-914.9333333,-1010.836364
1,1077.533333,745
1,1852.066667,1643.327273
0,1985.066667,2093.836364
1,1452.733333,1950.4
0,2417.6,3211.454545
1,1841.866667,2996.018182
0,1767.066667,3063.581818
0,1220.066667,2568.036364
0,1011.666667,2277.836364
-1,134.5333333,1266.127273
0,-708.1333333,129.2
1,-730.3333333,-264.2545455
-1,716.4,842.7636364
-1,-151.3333333,-83.81818182
0,-2819.4,-2869.872727
0,-1947,-2430.763636
1,-1376.666667,-2125.454545
0,1436.6,522.6363636
1,1185.533333,544.5090909
-1,1729.666667,1439.8
1,-269.3333333,-47.27272727
-1,164.2666667,507.7090909
1,-1150.733333,-730.6727273
0,158.8666667,322.5636364
0,-110,-40.09090909
-1,-209.2666667,-284.7090909
0,-750.4,-886.7636364
-1,-559.9333333,-812.0909091
0,-2027.333333,-2300.672727
1,-1531.666667,-2086.454545
-1,677.0666667,-61.41818182
0,-152.5333333,-724.1636364
1,150.1333333,-322.4
0,1921.2,1610.054545
1,1628.466667,1791.854545
-1,1655.8,2178.872727
-1,102.1333333,881.9818182
1,-923.3333333,-151.9636364
-1,-220.3333333,292.7818182
0,-824.2666667,-566.9454545
1,-549.6666667,-604.2363636
-1,649.2666667,390.5636364
0,-9.266666667,-195.2545455
0,-268.6,-410.0727273
0,15.73333333,-105.6909091
-1,-75.46666667,-120.0363636
-1,-1078.666667,-1094.654545
-1,-1503.6,-1697.236364
-1,-2491.133333,-2908.472727
1,-3411.2,-4186.854545
0,110.0666667,-1157.472727
-1,744,-420.8181818
0,179.6666667,-670.9818182
-1,263.3333333,-297.1272727
0,-402.5333333,-628.3818182
-1,-327.4666667,-372.4727273
1,-1892.4,-1929.745455
-1,-88.53333333,-409.6909091
-1,-1969.866667,-2310.327273
-1,-2186.533333,-2829.472727
1,-2955.4,-3890.781818
-1,-645.9333333,-1918.727273
0,-1013.533333,-2207.472727
1,-460.1333333,-1630.636364
0,1430.266667,473.0181818
-1,1410.533333,965.5818182
-1,-569.7333333,-521.4545455
0,-1073.066667,-959.3454545
0,-680.2666667,-624.6545455
1,-462.2666667,-525.7272727
1,314.0666667,81.25454545
0,1104.8,861.7454545
1,786.6666667,768.1636364
0,1401.466667,1573.781818
1,897.4,1334.854545
0,3100.933333,3702.818182
0,1782.933333,2804.2
-1,1195.066667,2365.109091
1,-382.8,809.8181818
0,289.0666667,1207.490909
-1,81.26666667,792.2363636
-1,-806.0666667,-381.0363636
0,-2183.666667,-2084.527273
0,-1305.733333,-1672.236364
1,-584.1333333,-1195.836364
1,304.8,-408.2545455
0,1145.4,565.1818182
1,1216,969.4545455
1,1419.333333,1553.709091
1,1805.266667,2275.127273
0,2585.066667,3378.418182
1,1168.533333,2307.527273
1,1282.333333,2460.636364
-1,2597.533333,3765.236364
1,394.7333333,1711.181818
0,1211.266667,2315.818182
1,394.2666667,1395.4
1,1075.933333,1902.709091
1,4856.066667,5600.8
-1,3975.133333,5217.872727
0,1696.066667,3409.454545
1,464.4666667,2265.745455
-1,566.2666667,2209.054545
0,-1103.066667,273
1,-831.6666667,-97.6
1,1249.4,1456.490909
-1,1838.4,1990.236364
0,-131.9333333,166.3636364
0,-510.0666667,-270.4
1,-635.2,-416.7818182
1,1710.066667,1819.854545
0,3458,3715.745455
-1,2373.8,3069.690909
0,640.0666667,1695.272727
0,-135.3333333,975.5818182
-1,-470.4666667,497.8909091
1,-1458.466667,-811.1272727
-1,442.2666667,568.7454545
-1,-878,-916.1636364
1,-2011.733333,-2292.290909
1,-692.1333333,-1300.254545
-1,710.4666667,58.36363636
1,72.26666667,-349.7636364
1,1723.466667,1403.581818
1,1996.266667,2082.145455
1,3714.066667,4247.345455
0,5416.133333,6553.345455
-1,3208.666667,5115.254545
-1,1150.866667,3440.818182
1,-1943.533333,231.7454545
1,1135.066667,2589.672727
0,2478,3562.763636
-1,1904.333333,2843.181818
-1,-1016.266667,-127.3818182
1,-1947.933333,-1383.4
0,-302.9333333,-123.9636364
-1,19,-30.90909091
0,-2527.533333,-2725.963636
1,-1345.933333,-1986.781818
0,1608.4,823.6727273
0,1230.666667,780.2909091
1,1158,1013.636364
1,2225.666667,2419.763636
-1,3424.2,4137.709091
0,-467.4666667,782.9818182
0,-1003.466667,45.69090909
0,-611.1333333,118.0545455
-1,-425.3333333,-27.09090909
0,-786.2,-752.8181818
0,-129.3333333,-435.7636364
-1,185.2666667,-138.5090909
0,-437,-686.5818182
-1,-207.3333333,-459
-1,-1261.066667,-1456.072727
1,-1726.733333,-2021.290909
0,-113.0666667,-649.2181818
0,-163.5333333,-694.5090909
1,-133.3333333,-614.8181818
1,1182.2,779.9454545
1,1289.666667,1208.072727
1,2103.533333,2352.490909
0,2196.466667,2819.981818
0,1301.066667,2272.836364
1,444.6666667,1558.690909
0,858.2,1867.054545
1,132.8,1043.181818
1,903.4666667,1575.709091
1,1347.933333,1911.181818
-1,1986.4,2574.018182
-1,-263.4,504.4909091
1,-942,-327.6909091
0,636.8666667,1006.181818
0,353.8666667,671.7636364
0,412.8,628.8727273
-1,45.46666667,200.1090909
-1,-2082.866667,-1936.690909
-1,-2842.2,-3024.272727
1,-2282.066667,-2949.872727
1,133.5333333,-896.4545455
-1,4443.8,3472.345455
-1,1765.266667,1592.927273
1,94.4,449.1454545
1,1872.466667,2490.745455
0,1848.2,2845.836364
1,1600,2764.672727
-1,1788.933333,2915.327273
-1,-727.9333333,451.4909091
1,-1240.733333,-389.7090909
-1,994.8,1368.545455
0,136.8,423.8545455
1,-123.8666667,31.74545455
1,539.0666667,557.6727273
1,2293.733333,2388
0,2567.533333,3029.545455
1,1915.133333,2731.436364
-1,5911.666667,7003.854545
1,2369.266667,4286.727273
-1,2683.933333,4775.181818
-1,-852.5333333,1325.818182
-1,-1870.4,-199.5272727
1,-2014.133333,-1094.127273
-1,478.1333333,534.1090909
1,-1821.466667,-2034.418182
0,321.1333333,-349.7454545
0,393.1333333,-184.5272727
0,67.4,-304.2
-1,233.1333333,58.25454545
-1,-1733.133333,-1779.527273
1,-2232.666667,-2412.781818
0,40.6,-490.8
